"Code","Common.Name","Scientific.Name"
"emu1","Emu","Dromaius novaehollandiae"
"bbwduc","Black-bellied Whistling-Duck","Dendrocygna autumnalis"
"fuwduc","Fulvous Whistling-Duck","Dendrocygna bicolor"
"bahgoo","Bar-headed Goose","Anser indicus"
"empgoo","Emperor Goose","Anser canagicus"
"snogoo","Snow Goose","Anser caerulescens"
"rosgoo","Ross's Goose","Anser rossii"
"sxrgoo1","Snow x Ross's Goose (hybrid)","Anser caerulescens x rossii"
"gragoo","Graylag Goose","Anser anser"
"swagoo1","Swan Goose","Anser cygnoides"
"x00776","Graylag x Swan Goose (hybrid)","Anser anser x cygnoides"
"gwfgoo","Greater White-fronted Goose","Anser albifrons"
"x00627","Snow x Greater White-fronted Goose (hybrid)","Anser caerulescens x albifrons"
"taibeg1","Taiga Bean-Goose","Anser fabalis"
"tunbeg1","Tundra Bean-Goose","Anser serrirostris"
"pifgoo","Pink-footed Goose","Anser brachyrhynchus"
"brant","Brant","Branta bernicla"
"bargoo","Barnacle Goose","Branta leucopsis"
"cacgoo1","Cackling Goose","Branta hutchinsii"
"x00692","Snow x Cackling Goose (hybrid)","Anser caerulescens x Branta hutchinsii"
"x00694","Ross's x Cackling Goose (hybrid)","Anser rossii x Branta hutchinsii"
"x00414","Greater White-fronted x Cackling Goose (hybrid)","Anser albifrons x Branta hutchinsii"
"cangoo","Canada Goose","Branta canadensis"
"swagoo3","Swan Goose x Canada Goose (hybrid)","Anser cygnoides x Branta canadensis"
"x00415","Greater White-fronted x Canada Goose (hybrid)","Anser albifrons x Branta canadensis"
"x00758","Graylag x Canada Goose (hybrid)","Anser anser x Branta canadensis"
"x00759","Domestic goose sp. x Canada Goose (hybrid)","Anser sp. (Domestic type) x Branta canadensis"
"x00197","Snow x Canada Goose (hybrid)","Anser caerulescens x Branta canadensis"
"x00417","Barnacle x Canada Goose (hybrid)","Branta leucopsis x canadensis"
"y00765","Snow/Ross's x Cackling/Canada Goose (hybrid)","Anser caerulescens/rossii x Branta hutchinsii/canadensis"
"rebgoo1","Red-breasted Goose","Branta ruficollis"
"mutswa","Mute Swan","Cygnus olor"
"blkswa","Black Swan","Cygnus atratus"
"truswa","Trumpeter Swan","Cygnus buccinator"
"x00832","Mute x Trumpeter Swan (hybrid)","Cygnus olor x buccinator"
"tunswa","Tundra Swan","Cygnus columbianus"
"whoswa","Whooper Swan","Cygnus cygnus"
"egygoo","Egyptian Goose","Alopochen aegyptiaca"
"rudshe","Ruddy Shelduck","Tadorna ferruginea"
"soashe1","South African Shelduck","Tadorna cana"
"comshe","Common Shelduck","Tadorna tadorna"
"musduc","Muscovy Duck","Cairina moschata"
"rintea1","Ringed Teal","Callonetta leucophrys"
"wooduc","Wood Duck","Aix sponsa"
"manduc","Mandarin Duck","Aix galericulata"
"x00833","Wood x Mandarin Duck (hybrid)","Aix sponsa x galericulata"
"baitea","Baikal Teal","Sibirionetta formosa"
"gargan","Garganey","Spatula querquedula"
"buwtea","Blue-winged Teal","Spatula discors"
"cintea","Cinnamon Teal","Spatula cyanoptera"
"bwxtea1","Blue-winged x Cinnamon Teal (hybrid)","Spatula discors x cyanoptera"
"norsho","Northern Shoveler","Spatula clypeata"
"x00629","Blue-winged Teal x Northern Shoveler (hybrid)","Spatula discors x clypeata"
"x00630","Cinnamon Teal x Northern Shoveler (hybrid)","Spatula cyanoptera x clypeata"
"gadwal","Gadwall","Mareca strepera"
"x00457","Northern Shoveler x Gadwall (hybrid)","Spatula clypeata x Mareca strepera"
"falduc","Falcated Duck","Mareca falcata"
"eurwig","Eurasian Wigeon","Mareca penelope"
"amewig","American Wigeon","Mareca americana"
"x00724","Gadwall x American Wigeon (hybrid)","Mareca strepera x americana"
"x00421","Eurasian x American Wigeon (hybrid)","Mareca penelope x americana"
"chiwig1","Chiloe Wigeon","Mareca sibilatrix"
"mallar3","Mallard","Anas platyrhynchos"
"mdxmal1","Muscovy Duck x Mallard (hybrid)","Cairina moschata x Anas platyrhynchos"
"x00205","Wood Duck x Mallard (hybrid)","Aix sponsa x Anas platyrhynchos"
"x00612","Northern Shoveler x Mallard (hybrid)","Spatula clypeata x Anas platyrhynchos"
"x00420","Gadwall x Mallard (hybrid)","Mareca strepera x Anas platyrhynchos"
"x00611","American Wigeon x Mallard (hybrid)","Mareca americana x Anas platyrhynchos"
"ambduc","American Black Duck","Anas rubripes"
"x00004","Mallard x American Black Duck (hybrid)","Anas platyrhynchos x rubripes"
"motduc","Mottled Duck","Anas fulvigula"
"whcpin","White-cheeked Pintail","Anas bahamensis"
"norpin","Northern Pintail","Anas acuta"
"x00610","Gadwall x Northern Pintail (hybrid)","Mareca strepera x Anas acuta"
"x00196","American Wigeon x Northern Pintail (hybrid)","Mareca americana x Anas acuta"
"x00628","Mallard x Northern Pintail (hybrid)","Anas platyrhynchos x acuta"
"gnwtea","Green-winged Teal","Anas crecca"
"x00673","Blue-winged x Green-winged Teal (hybrid)","Spatula discors x Anas crecca"
"x00763","Cinnamon x Green-winged Teal (hybrid)","Spatula cyanoptera x Anas crecca"
"x00762","Gadwall x Green-winged Teal (hybrid)","Mareca strepera x Anas crecca"
"x00646","American Wigeon x Green-winged Teal (hybrid)","Mareca americana x Anas crecca"
"x00725","Northern Pintail x Green-winged Teal (hybrid)","Anas acuta x crecca"
"martea1","Marbled Teal","Marmaronetta angustirostris"
"recpoc","Red-crested Pochard","Netta rufina"
"canvas","Canvasback","Aythya valisineria"
"redhea","Redhead","Aythya americana"
"x00684","Canvasback x Redhead (hybrid)","Aythya valisineria x americana"
"compoc","Common Pochard","Aythya ferina"
"rinduc","Ring-necked Duck","Aythya collaris"
"x00880","Canvasback x Ring-necked Duck (hybrid)","Aythya valisineria x collaris"
"x00679","Redhead x Ring-necked Duck (hybrid)","Aythya americana x collaris"
"tufduc","Tufted Duck","Aythya fuligula"
"x00652","Ring-necked x Tufted Duck (hybrid)","Aythya collaris x fuligula"
"gresca","Greater Scaup","Aythya marila"
"x00680","Redhead x Greater Scaup (hybrid)","Aythya americana x marila"
"x00779","Ring-necked Duck x Greater Scaup (hybrid)","Aythya collaris x marila"
"x00654","Tufted Duck x Greater Scaup (hybrid)","Aythya fuligula x marila"
"lessca","Lesser Scaup","Aythya affinis"
"x00678","Redhead x Lesser Scaup (hybrid)","Aythya americana x affinis"
"x00613","Ring-necked Duck x Lesser Scaup (hybrid)","Aythya collaris x affinis"
"x00653","Tufted Duck x Lesser Scaup (hybrid)","Aythya fuligula x affinis"
"x00377","Canvasback x scaup sp. (hybrid)","Aythya valisineria x marila/affinis"
"x00681","Redhead x scaup sp. (hybrid)","Aythya americana x marila/affinis"
"x00682","Ring-necked Duck x scaup sp. (hybrid)","Aythya collaris x marila/affinis"
"tdxsca1","Tufted Duck x scaup sp. (hybrid)","Aythya fuligula x marila/affinis"
"steeid","Steller's Eider","Polysticta stelleri"
"labduc","Labrador Duck","Camptorhynchus labradorius"
"speeid","Spectacled Eider","Somateria fischeri"
"kineid","King Eider","Somateria spectabilis"
"comeid","Common Eider","Somateria mollissima"
"x00665","King x Common Eider (hybrid)","Somateria spectabilis x mollissima"
